Compound,Count,Date,Negative,Neutral,Positive,Tweet,User
0.659,31,Wed Sep 26 15:03:05 +0000 2018,0.597,0.0,0.403,"This puffer fish creates something absolutely breathtaking. 🐡😲 #LifeStory 

https://t.co/mxU7VERaCI",BBC
-0.25,32,Wed Sep 26 14:04:00 +0000 2018,0.917,0.083,0.0,"RT @bbcweather: From today, night is longer than day. 🌃/☀ and the darkness is increasing at a rate of 4/5mins a day. Jo #Autumn https://t.c…",BBC
0.0,33,Wed Sep 26 14:03:03 +0000 2018,1.0,0.0,0.0,"Archaeologists have found a 400-year-old shipwreck off the coast of Portugal, in what one specialist called the ""di… https://t.co/YP9fuo5Iz7",BBC
-0.103,34,Wed Sep 26 13:04:06 +0000 2018,0.59,0.229,0.181,"Another grand slam for @Andy_Murray 😬

The tennis star took to Instagram to share the awkward moment he dropped a c… https://t.co/fXEFv5P9Nz",BBC
0.0,35,Wed Sep 26 12:32:03 +0000 2018,1.0,0.0,0.0,An orangutan named Rocky has become the first to mimic human speech. 🙊💬  https://t.co/DIGdTHwpNq https://t.co/MeQwgxocmm,BBC
0.0,36,Wed Sep 26 12:30:08 +0000 2018,1.0,0.0,0.0,"It’s National #FitnessDay! 🏀️⚽️🎾

How much do you really know about exercise? 

Take this quiz to find out…… https://t.co/8t1SMXLZp2",BBC
0.0,37,Wed Sep 26 11:02:01 +0000 2018,1.0,0.0,0.0,"It's that time of year again... 🙄

https://t.co/LxjiPTYUIG",BBC
0.318,38,Wed Sep 26 10:46:44 +0000 2018,0.874,0.0,0.126,RT @BBCRadio4: 🎶 Prepare for adventure as @gemcairn takes @KojeyRadical on a musical journey to Accra... https://t.co/mvTfrBzlnB,BBC
0.0,39,Wed Sep 26 10:04:04 +0000 2018,1.0,0.0,0.0,"What. A. Voice. 😮👏

7-year-old Malea Emma was asked to sing the national anthem before an LA Galaxy game...

https://t.co/WHmbmTKkyU",BBC
0.0,40,Wed Sep 26 09:53:51 +0000 2018,1.0,0.0,0.0,RT @BBCLater: Record-breaking UK solo artist @JessGlynne got our brand new series off to a storming start tonight... Watch the performance…,BBC
0.527,41,Sun Sep 23 17:02:01 +0000 2018,0.708,0.071,0.221,"Falling leaves, dramatic skies, misty mornings... 🍂🌰🦊

7 signs that autumn is well and truly on its way. 👉… https://t.co/iNXWoE3zcW",BBC
0.382,42,Sun Sep 23 16:04:03 +0000 2018,0.755,0.0,0.245,"'We're in love but never have sex'. 

https://t.co/IOgVh8eiFC https://t.co/dCLDcKhQ0Y",BBC
0.806,43,Sun Sep 23 15:03:04 +0000 2018,0.553,0.0,0.447,"Sea dragons are so elegant 😍 #Oceans

https://t.co/yulAjV8D0S",BBC
0.372,44,Sun Sep 23 14:02:06 +0000 2018,0.761,0.066,0.173,"Low on cash but still want to whip up a mouthwatering meal? 🍝🥘🍛

Raid the store cupboard to create these delicious… https://t.co/eMfg1xSQEo",BBC
0.0,45,Sun Sep 23 12:44:40 +0000 2018,1.0,0.0,0.0,"RT @BBCOne: The #Bodyguard finale is 75 minutes long. 
So here’s 75 reasons why we ❤️ this show. 

See you at 9pm for the epic conclusion.…",BBC
0.0,46,Sun Sep 23 11:02:02 +0000 2018,1.0,0.0,0.0,"Meet Ross. He's swimming the entire coast of Britain and has faced wetsuit burns, ""salt tongue"" and jellyfish. 😬🌊

https://t.co/pj8THPs7g8",BBC
-0.526,47,Sun Sep 23 10:04:02 +0000 2018,0.747,0.253,0.0,"What's the most dangerous job in the world? #QI 🔥✂️😬

https://t.co/hQ7vwFLc1A",BBC
0.402,48,Sun Sep 23 09:03:05 +0000 2018,0.863,0.0,0.137,"*Googles how to become a special effects artist...*

😲🎬 Meet the team behind every gripping action sequence in… https://t.co/sTE4R5sVJE",BBC
0.502,49,Sun Sep 23 08:03:04 +0000 2018,0.885,0.0,0.115,"A lot has changed in 20 years, but do you remember what life was like in 1998? 🤔

Take the twenty years of change c… https://t.co/AP2Lr1Jeq1",BBC
0.0,50,Sun Sep 23 07:31:05 +0000 2018,1.0,0.0,0.0,"A giant 300m-long spiderweb has appeared in Greece. The phenomenon is caused by Tetragnatha spiders, which can buil… https://t.co/WReys8HSJV",BBC
0.0,51,Sun Sep 23 07:03:01 +0000 2018,1.0,0.0,0.0,"It's been just over a year since @Harry_Styles made his Live Lounge debut. 💕

His cover of Fleetwood Mac's 'The Cha… https://t.co/ZtNRkwd9bs",BBC
-0.296,52,Sat Sep 22 19:04:06 +0000 2018,0.879,0.121,0.0,"Seeking a missing man, detective Jay Swan finds an outback community fractured by secrets. 

#MysteryRoad | 9pm |… https://t.co/7ogs71Algw",BBC
0.0,53,Sat Sep 22 18:06:53 +0000 2018,1.0,0.0,0.0,RT @bbcthree: Me walking in on the drama I've caused just after I've caused it #Strictly https://t.co/VlbewRmJt8,BBC
0.68,54,Sat Sep 22 18:06:33 +0000 2018,0.741,0.0,0.259,"RT @BBCiPlayer: Happy Birthday, @billiepiper! 🎂 🎈
Here's a throwback to her emotional goodbye in Doctor Who. https://t.co/Mb9fPYDiyH",BBC
0.572,55,Sat Sep 22 17:03:07 +0000 2018,0.844,0.0,0.156,Jack wanted to do something different to celebrate turning 106... so he became the oldest person ever to have zip-l… https://t.co/WVOmVlpIZz,BBC
0.42,56,Sat Sep 22 16:14:07 +0000 2018,0.872,0.0,0.128,"Get ready to start dancing! ✨💃🕺

This year's @BBCStrictly celebrities have had two weeks to rehearse their first ro… https://t.co/ADIc1vi0we",BBC
0.0,57,Sat Sep 22 15:04:05 +0000 2018,1.0,0.0,0.0,"This is the first time this baby rhino has been outside! 😍🦏 #WorldRhinoDay

https://t.co/OJdiiKiyIK",BBC
-0.131,58,Sat Sep 22 14:03:05 +0000 2018,0.793,0.132,0.075,Pictures of sea life tangled in plastic waste mean the pressure is on to do more to help. But what can be recycled… https://t.co/RnQPBTRO44,BBC
-0.557,59,Sat Sep 22 13:30:22 +0000 2018,0.806,0.194,0.0,RT @BBCBreaking: Chas Hodges - one half of the musical duo Chas &amp; Dave - has died https://t.co/sLok83mgNk,BBC
0.637,60,Sat Sep 22 13:30:08 +0000 2018,0.826,0.0,0.174,"RT @BBC6Music: 📺 What’s the best thing you’ve watched on the iPlayer lately?
1) #KillingEve @bbcthree
2) #CanYouFeelIt @BBCFOUR
3) #TheBody…",BBC
0.077,61,Tue Sep 18 10:03:04 +0000 2018,0.894,0.0,0.106,"Whodunnit on #Bodyguard? Pause to find out your number one suspect...

https://t.co/d4uWKdUSBv",BBC
0.904,62,Tue Sep 18 09:32:07 +0000 2018,0.603,0.0,0.397,"Glenn Weiss wins best #Emmys moment! 

He used his acceptance speech to propose to his girlfriend, athlete Jan Sven… https://t.co/N5r2FoJZp8",BBC
0.202,63,Tue Sep 18 09:03:00 +0000 2018,0.698,0.128,0.174,"A genius guide to uni from those clever clogs @e_monkman and @Bobby_Seagull... 🤓

https://t.co/R8ELoTlbWc",BBC
0.382,64,Tue Sep 18 08:41:47 +0000 2018,0.611,0.122,0.267,"RT @bbcdoctorwho: An adventure like no other. New Doctor Who, Sunday 7th October. https://t.co/jZI7ZZr733",BBC
0.637,65,Tue Sep 18 08:03:04 +0000 2018,0.826,0.0,0.174,"Brits know a thing or two about precipitation. 🌂🌦

From 'mizzle' to 'plothering', here are 13 of the best British w… https://t.co/sGesSVsMJN",BBC
0.0,66,Tue Sep 18 07:31:04 +0000 2018,1.0,0.0,0.0,"""I've felt it with everything I've done"": @alexa_chung on imposter syndrome. https://t.co/zQQdV1MVcx https://t.co/a8hunizVuP",BBC
0.457,67,Tue Sep 18 07:02:01 +0000 2018,0.8,0.0,0.2,"What a special moment! 🦒💛 This newborn giraffe is taking her first steps... 

https://t.co/eg2fF1Dcut",BBC
0.077,68,Mon Sep 17 18:04:04 +0000 2018,0.929,0.0,0.071,University Challenge icons @e_monkman and @Bobby_Seagull road trip around Britain in search of hidden gems of Briti… https://t.co/ehTKqStAoJ,BBC
0.0,69,Mon Sep 17 17:04:05 +0000 2018,1.0,0.0,0.0,Australia has ordered an investigation into the discovery of sewing needles hidden in strawberries.… https://t.co/4VUFTkoOKt,BBC
0.7,70,Mon Sep 17 16:04:02 +0000 2018,0.674,0.0,0.326,"The finalists of the Comedy Wildlife Photography Awards have been announced! 🐿😂
 https://t.co/fB7n9B6ugV https://t.co/rBl2q4QaDa",BBC
0.0,71,Mon Sep 17 15:03:04 +0000 2018,1.0,0.0,0.0,"Who knew Paddington had such a foul mouth?! 😱🐻😂 #QI

https://t.co/Si3pPqooX9",BBC
-0.557,72,Mon Sep 17 14:03:05 +0000 2018,0.854,0.146,0.0,"The UK's oldest person has seen the outbreak and resolution of two world wars, the sinking of the Titanic, and all… https://t.co/6GLb77FEpO",BBC
0.44,73,Mon Sep 17 13:04:04 +0000 2018,0.791,0.0,0.209,This is truly magical: Sue and her underwater wheelchair. (Via @BBCThree) https://t.co/fKFUb94oM3,BBC
0.718,74,Mon Sep 17 12:02:06 +0000 2018,0.708,0.0,0.292,The Duchess of Sussex has launched her first solo charity project as a royal - a cookbook in support of Grenfell fa… https://t.co/yBj2kdv4rY,BBC
0.0,75,Mon Sep 17 11:27:23 +0000 2018,1.0,0.0,0.0,RT @bbcpress: 🏴󠁧󠁢󠁷󠁬󠁳󠁿 @larrylamb47 leads cast of TV favourites for new drama #PitchingIn on @BBCWales and @BBCOne daytime: https://t.co/Say…,BBC
0.0,76,Mon Sep 17 11:03:04 +0000 2018,1.0,0.0,0.0,"🌟🌠✨ The International Dark Sky Association has named Wales as a dark skies world leader... 

https://t.co/6cMHSt3mPT",BBC
0.0,77,Mon Sep 17 10:03:05 +0000 2018,1.0,0.0,0.0,"Meet Vera, a 102-year-old Manchester City mascot. 💙️⚽️

https://t.co/TRLp6M4m6G",BBC
0.0,78,Mon Sep 17 09:04:06 +0000 2018,1.0,0.0,0.0,"Your week, as told by @louistheroux...

https://t.co/S4y4TzziDY",BBC
0.599,79,Mon Sep 17 08:02:03 +0000 2018,0.755,0.0,0.245,This spectacular 'super bloom' has transformed the South African desert. 🌺🌻🌸  https://t.co/CQwGUcetkj https://t.co/XHT1h9ycAV,BBC
0.572,80,Mon Sep 17 07:31:08 +0000 2018,0.879,0.0,0.121,"✅ Courgetti spaghetti
✅ Chicken kebab wrap
✅ Vegetable curry

These recipes for students are delicious and a doddle… https://t.co/9geDMjS3RJ",BBC
-0.34,81,Tue Sep 11 08:50:06 +0000 2018,0.893,0.107,0.0,From Nicki Minaj and Cardi B to Lady Gaga and Madonna - here are 8 of the biggest feuds in pop music 🎶➡️… https://t.co/bWV2ghkB1X,BBC
0.494,82,Tue Sep 11 08:02:04 +0000 2018,0.824,0.0,0.176,"Holly helped save someone's life, and changed her own in the process. 
#SavingLivesAtSea via @BBCThree  https://t.co/1Ca63uE4RF",BBC
-0.677,83,Tue Sep 11 07:27:05 +0000 2018,0.767,0.233,0.0,"Why were there so many serial killers in the 1980s?
👉 https://t.co/JnQWlHeFvS https://t.co/F02uRnIBIU",BBC
0.361,84,Tue Sep 11 07:00:13 +0000 2018,0.839,0.0,0.161,❤️ This club in Glasgow is running nights aimed at promoting inclusivity. https://t.co/zCXTsZVJ2v,BBC
0.0,85,Mon Sep 10 19:06:03 +0000 2018,1.0,0.0,0.0,"James Fox tells the story of Australia's indigenous culture, the oldest continuous culture anywhere in the world, a… https://t.co/5pAyJOvHUW",BBC
0.0,86,Mon Sep 10 18:05:05 +0000 2018,1.0,0.0,0.0,Cooling down - elephant style 🐘 https://t.co/niviG9h3Cg,BBC
-0.84,87,Mon Sep 10 17:02:07 +0000 2018,0.556,0.444,0.0,"Suicide kills more men under 50 than anything else.

#WorldSuicidePreventionDay #WSPD

https://t.co/sshexDg1vi",BBC
0.0,88,Mon Sep 10 16:23:57 +0000 2018,1.0,0.0,0.0,RT @bbcthree: Lucy was 22 and studying to become a nurse. This is her story. #WorldSuicidePreventionDay https://t.co/jSQugzd4BV,BBC
0.0,89,Mon Sep 10 16:02:02 +0000 2018,1.0,0.0,0.0,✊ How did a clenched fist become a gesture for empowerment? https://t.co/mFFNKB6dsV,BBC
0.541,90,Mon Sep 10 15:08:58 +0000 2018,0.7,0.078,0.222,"Anyone else 100% relate to this? 😂

 (You'll want the sound on!) 🔊🚘 

 #EightGoRallying

https://t.co/ULYk3hqLHM 

https://t.co/uu0Znl71sJ",BBC
0.0,91,Mon Sep 10 14:05:07 +0000 2018,1.0,0.0,0.0,"“Once you’ve been touched by evil… it never lets go.”

John Goodman, @MichaelaCoel, Noma Dumezweni and Harriet Walt… https://t.co/jVsuuKQmgQ",BBC
-0.258,92,Mon Sep 10 13:04:03 +0000 2018,0.805,0.118,0.077,"🎞 From a documentary on MIA to Idris Elba’s directorial debut, these are the films worth a trip to the cinema this… https://t.co/EKChfvQXNQ",BBC
0.0,93,Mon Sep 10 12:22:38 +0000 2018,1.0,0.0,0.0,"RT @BBCR1: .@30SECONDSTOMARS mashing up @JuiceWorlddd, @PostMalone, @Normani and @thegreatkhalid in the Live Lounge?

It really, REALLY wor…",BBC
0.0,94,Mon Sep 10 12:03:05 +0000 2018,1.0,0.0,0.0,Ever heard of Tambourelli? https://t.co/gt2tmnOTQa,BBC
0.0,95,Mon Sep 10 11:29:29 +0000 2018,1.0,0.0,0.0,RT @BBCOne: NEWS JUST IN: Filming begins this week on the fifth and final series of #Poldark. Head here for more 👉 https://t.co/Js6OtCRxK8…,BBC
-0.153,96,Mon Sep 10 11:05:08 +0000 2018,0.789,0.118,0.092,"Insects will be at the heart of worldwide crop losses as the climate warms up, predicts a US study.
👉… https://t.co/t317WjY16V",BBC
-0.477,97,Mon Sep 10 10:16:52 +0000 2018,0.697,0.206,0.098,🏄 A surfer has tracked down the stranger who saved his life when he broke his neck in a surfing accident after a Fa… https://t.co/tLrFxL8q91,BBC
0.894,98,Mon Sep 10 09:03:39 +0000 2018,0.705,0.0,0.295,"RT @BBCR1: 🎉 #R1TEENAWARDS 2018 🎉

This is going to be HUGE! Performing at this year's Teen Awards 👇

⭐️ @LittleMix
⭐️ @5SOS
⭐️ @HRVY
⭐️ @J…",BBC
0.128,99,Mon Sep 10 08:59:29 +0000 2018,0.789,0.079,0.133,"RT @BBCRadio2: Did @kylieminogue play your favourite Kylie song tonight?

If you missed the Hyde Park headline set or if you want to step b…",BBC
0.44,100,Mon Sep 10 08:00:08 +0000 2018,0.868,0.0,0.132,Two London police officers have set up a bike project scheme to improve relations between local police and young pe… https://t.co/Uh38yxESnp,BBC
0.0,1,Fri Sep 28 22:22:01 +0000 2018,1.0,0.0,0.0,"On @colbertlateshow, @TheNeighborhood's @CedEntertainer and Stephen recall the first time they met on a night when… https://t.co/vjz1zVg4sR",CBS
0.0,2,Fri Sep 28 20:16:14 +0000 2018,1.0,0.0,0.0,".@happytogether's @wayansjr, @HereIsGina &amp; @latelateshow discuss the pros and cons of living with a pop star. Con:… https://t.co/PLXFxfheW7",CBS
0.0,3,Fri Sep 28 17:52:41 +0000 2018,1.0,0.0,0.0,"If you haven't seen @SEALTeamCBS, make it your mission to know them before the #SEALTeam Season 2 premiere October… https://t.co/NhCPI3lZSV",CBS
